
set N:= 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32;
set L:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32;

set busSet:= Pd  Qd  	SMAXGD fpgdm   fpgdM;
( 2 , 22 , 22 )
( 22 , 23 , 23 )
( 23 , 24 , 24 )
( 5 , 25 , 25 )
( 25 , 26 , 26 )
( 26 , 27 , 27 )
( 27 , 28 , 28 )
( 28 , 29 , 29 )
( 29 , 30 , 30 )
( 30 , 31 , 31 )
( 31 , 32 , 32 )
;

set lineCon := 
( 1 , 0 , 1 )
( 2 , 1 , 2 )
( 3 , 2 , 3 )
( 4 , 3 , 4 )
( 5 , 4 , 5 )
( 6 , 5 , 6 )
( 7 , 6 , 7 )
( 8 , 7 , 8 )
( 9 , 8 , 9 )
( 10 , 9 , 10 )
( 11 , 10 , 11 )
( 12 , 11 , 12 )
( 13 , 12 , 13 )
( 14 , 13 , 14 )
( 15 , 14 , 15 )
( 16 , 15 , 16 )
( 17 , 16 , 17 )
( 18 , 1 , 18 )
( 19 , 18 , 19 )
( 20 , 19 , 20 )
( 21 , 20 , 21 )
( 22 , 2 , 22 )
( 23 , 22 , 23 )
( 24 , 23 , 24 )
( 25 , 5 , 25 )
( 26 , 25 , 26 )
( 27 , 26 , 27 )
( 28 , 27 , 28 )
( 29 , 28 , 29 )
( 30 , 29 , 30 )
( 31 , 30 , 31 )
( 32 , 31 , 32 )
;

# m, n, r, x
set lineData :=
    (0, 1, 0.0922, 0.0470)
    (1, 2, 0.4930, 0.2511)
    (2, 3, 0.3660, 0.1864)
    (3, 4, 0.3811, 0.1941)
    (4, 5, 0.8190, 0.7070)
    (5, 6, 0.1872, 0.6188)
    (6, 7, 0.7114, 0.2351)
    (7, 8, 1.0300, 0.7400)
    (8, 9, 1.0440, 0.7400)
    (9, 10, 0.1966, 0.0650)
    (10, 11, 0.3744, 0.1238)
    (11, 12, 1.4680, 1.1550)
    (12, 13, 0.5416, 0.7129)
    (13, 14, 0.5910, 0.5260)
    (14, 15, 0.7463, 0.5450)
    (15, 16, 1.2890, 1.7210)
    (16, 17, 0.7320, 0.5740)
    (1, 18, 0.1640, 0.1565)
    (18, 19, 1.5042, 1.3554)
    (19, 20, 0.4095, 0.4784)
    (20, 21, 0.7089, 0.9373)
    (2, 22, 0.4512, 0.3083)
    (22, 23, 0.8980, 0.7091)
    (23, 24, 0.8960, 0.7011)
    (5, 25, 0.2030, 0.1034)
    (25, 26, 0.2842, 0.1447)
    (26, 27, 1.0590, 0.9337)
    (27, 28, 0.8042, 0.7006)
    (28, 29, 0.5075, 0.2585)
    (29, 30, 0.9744, 0.9630)
    (30, 31, 0.3105, 0.3619)
    (31, 32, 0.3410, 0.5302)
    (7, 20, 2.0000, 2.0000)
    (8, 14, 2.0000, 2.0000)
    (11, 21, 2.0000, 2.0000)
    (17, 32, 0.5000, 0.5000)
    (24, 28, 0.5000, 0.5000)
;
